"14éme","14eme"
"accoucher","accouchement"
"accoudoirs","accoudoir"
"accouplements","accouplement"
"accouplé","accouplement"
"accouplés","accouplement"
"accreditation","accréditation"
"accredité","accrédité"
"accrochages","accrochage"
"accroche","accrocher"
"accrochent","accrocher"
"accroches","accrocher"
"accrocheurs","accrocheur"
"accrocheuse","accrocheur"
"accroissant","accroître"
"accroitre","accroître"
"accros","accro"
"accru","accroître"
"accrue","accroître"
"accrues","accroître"
"accrus","accroître"
"accréditations","accréditation"
"accréditée","accrédité"
"accrédités","accrédité"
"accueillait","accueillir"
"accueillant","accueillir"
"accueillante","accueillir"
"accueille","accueillir"
"accueillent","accueillir"
"accueillera","accueillir"
"accueillez","accueillir"
"accueilli","accueillir"
"accueillie","accueillir"
"accueillies","accueillir"
"accueillis","accueillir"
"accueils","accueil"
"accumulant","accumulation"
"accumulateurs","accumulateur"
"accumulations","accumulation"
"accumulent","accumulation"
"accumuler","accumulation"
"accumulé","accumulation"
"accumulée","accumulation"
"accumulées","accumulation"
"accumulés","accumulation"
"accus","accu"
"accusait","accuser"
"accusant","accuser"
"accusations","accusation"
"accusé","accuser"
"accusés","accuser"
"accède","accéder"
"accèdent","accéder"
"accédant","accéder"
"accédez","accéder"
"accédé","accéder"
"accélère","accélérer"
"accélèrent","accélérer"
"accélérant","accélérer"
"accélérateurs","accélérateur"
"accélérations","accélération"
"accélératrice","accélérateur"
"accéléré","accélérer"
"accélérée","accélérer"
"accélérées","accélérer"
"accélérés","accélérer"
"acetate","acétate"
"acetylene","acétylène"
"achat-revente","achat revente"
"achat-vente","achat vente"
"achats","achat"
"achats&logistique","achat logistique"
"achats-approvisionnements","achat approvisionnement"
"achemine","acheminement"
"acheminent","acheminement"
"acheminer","acheminement"
"acheminé","acheminement"
"acheminées","acheminement"
"aches","ache"
"achetant","acheter"
"acheteur","acheter"
"acheteur-vendeur","acheter vendeur"
"acheteurs","acheter"
"acheteuse","acheter"
"acheteuses","acheter"
"achetez","acheter"
"acheté","acheter"
"achetée","acheter"
"achetées","acheter"
"achetés","acheter"
"achevant","achever"
"achevé","achever"
"achevée","achever"
"achevées","achever"
"achevés","achever"
"achète","acheter"
"achètent","acheter"
"achèterait","acheter"
"achève","achever"
"achèvements","achèvement"
"acide-base","acide basée"
"acides","acide"
"acidités","acidité"
"acier-béton","acier béton"
"aciers","acier"
"aciéries","aciérie"
"acomptes","acompte"
"acoustiques","acoustique"
"acquiers","acquérir"
"acquiert","acquérir"
"acquis","acquérir"
"acquise","acquérir"
"acquises","acquérir"
"acquisitions","acquisition"
"acquit","acquérir"
"acquitté","acquitter"
"acquière","acquérir"
"acquérant","acquérir"
"acquéreurs","acquéreur"
"acrobatiques","acrobatique"
"acryliques","acrylique"
"acta","action"
"acter","action"
"actes","acte"
"acteurs","acteur"
"actifs","actif"
"action-suivi","action suivi"
"actionnaires","actionnaire"
"actionnant","actionner"
"actionne","actionner"
"actionneur","actionner"
"actionné","actionner"
"actionnées","actionner"
"actions","action"
"activa","actif"
"activation","actif"
"activations","actif"
"active","actif"
"activent","actif"
"activer","actif"
"actives","actif"
"activités","activité"
"activé","actif"
"activée","actif"
"activées","actif"
"activés","actif"
"actrice","acteur"
"actrices","acteur"
"actualise","actualiser"
"actualisé","actualiser"
"actualisée","actualiser"
"actualisées","actualiser"
"actualités","actualité"
"actuelle","actuel"
"actuelles","actuel"
"actuels","actuel"
"adages","adage"
"adapta","adapter"
"adaptabilite","adaptabilité"
"adaptables","adaptable"
"adaptant","adapter"
"adaptateurs","adaptateur"
"adaptatifs","adaptatif"
"adaptation","adapter"
"adaptations","adapter"
"adapte","adapter"
"adaptent","adapter"
"adaptera","adapter"
"adapterai","adapter"
"adaptez","adapter"
"adapté","adapter"
"adaptée","adapter"
"adaptées","adapter"
"adaptés","adapter"
"additifs","additif"
"additionnelle","additionnel"
"additionnelles","additionnel"
"additionnels","additionnel"
"additions","addition"
"adducteurs","adducteur"
"adelaïde","adelaide"
"adeptes","adepte"
"adhère","adhérer"
"adhéraient","adhérer"
"adhérant","adhérer"
"adhérences","adhérence"
"adhérente","adhérent"
"adhérentes","adhérent"
"adhérents","adhérent"
"adhéré","adhérer"
"adhésifs","adhésif"
"adhésions","adhésion"
"adhésive","adhésif"
"adhésives","adhésif"
"adhésivés","adhesives"
"adjacents","adjacent"
"adjoins","adjoindre"
"adjoint","adjoindre"
"adjointe","adjoindre"
"adjointes","adjoindre"
"adjoints","adjoindre"
"adjudications","adjudication"
"adjuvants","adjuvant"
"administra","administration"
"administrais","administration"
"administrateur","administration"
"administrateurs","administration"
"administratifs","administratif"
"administrations","administration"
"administrative","administratif"
"administrative-financière","administratif financier"
"administratives","administratif"
"administratrice","administration"
"administre","administration"
"administrer","administration"
"administrez","administration"
"administré","administration"
"administrées","administration"
"administrés","administration"
"admise","admis"
"admissibles","admissible"
"admissions","admission"
"ado","ados"
"adolescentes","adolescent"
"adolescents","adolescent"
"adoptant","adopter"
"adopte","adopter"
"adoptent","adopter"
"adoptions","adopter"
"adopté","adopter"
"adoptée","adopter"
"adoptées","adopter"
"adoptés","adopter"
"adora","adorer"
"adore","adorer"
"adosse","adosser"
"adossé","adosser"
"adossée","adosser"
"adossés","adosser"
"adoucisseurs","adoucisseur"
"adressant","adresser"
"adresse","adresser"
"adressent","adresser"
"adresses","adresser"
"adressé","adresser"
"adressée","adresser"
"adressées","adresser"
"adressés","adresser"
"adroite","adroit"
"adultes","adulte"
"adverses","adverse"
"adélaïde","adelaide"
"adélia","adelia"
"adéo","adeo"
"adéquate","adéquat"
"adéquates","adéquat"
"adéquats","adéquat"
"aerien","aérien"
"aero","aéro"
"aeronautique","aéronautique"
"aeroplanes","aéroplanes"
"aerospatiale","aérospatial"
"affaiblie","affaiblir"
"affaire","affaires"
"affaissée","affaissement"
"affaissés","affaissement"
"affectant","affection"
"affectations","affectation"
"affecte","affection"
"affectent","affection"
"affecter","affection"
"affections","affection"
"affective","affectives"
"affecté","affection"
"affectée","affection"
"affectées","affection"
"affectés","affection"
"affichages","affichage"
"affichant","affichage"
"affiche","affichage"
"afficher","affichage"
"affiches","affichage"
"afficheurs","afficheur"
"affichée","affichage"
"affichés","affichage"
"affiliations","affiliation"
"affilier","affiliation"
"affilié","affiliation"
"affiliée","affiliation"
"affiliées","affiliation"
"affiliés","affiliation"
"affine","affiner"
"affinités","affinité"
"affiné","affiner"
"affinée","affiner"
"affirmation","affirmer"
"affirmative","affirmatif"
"affirme","affirmer"
"affirmez","affirmer"
"affirmé","affirmer"
"affirmée","affirmer"
"affirmées","affirmer"
"affouillements","affouillement"
"affranchit","affranchir"
"affronte","affronter"
"affréter","affréteur"
"affrété","affréteur"
"afférente","afférent"
"afférentes","afférent"
"afférents","afférent"
"affûtage","affûter"
"affûté","affûter"
"affûtées","affûter"
"afghanes","afghan"
"africaine","africain"
"africaines","africain"
"africains","africain"
"agapes","agape"
"agaves","agave"
"agence","agencer"
"agencements","agencement"
"agences","agencer"
"agencées","agencer"
"agendas","agenda"
"agente","agent"
"agents","agent"
"ages","age"
"agglomérations","agglomération"
"aggloméré","agglomérer"
"agglomérées","agglomérer"
"agglomérés","agglomérer"
"agi","agir"
"agiles","agile"
"agira","agir"
"agis","agir"
"agissait","agir"
"agissant","agir"
"agissantes","agir"
"agisse","agir"
"agissent","agir"
"agissez","agir"
"agissons","agir"
"agit","agir"
"agitateurs","agitateur"
"agitations","agitation"
"agitée","agité"
"agneaux","agneau"
"agrafe","agrafage"
"agrafes","agrafage"
"agrafeuse","agrafage"
"agrafeuses","agrafage"
"agrafé","agrafage"
"agrafées","agrafage"
"agraires","agraire"
"agrandi","agrandir"
"agrandissements","agrandissement"
"agrandisseurs","agrandisseur"
"agressions","agression"
"agressive","agressif"
"agricoles","agricole"
"agriculteurs","agriculteur"
"agriculteurs-éleveurs","agriculteur éleveur"
"agricultrice","agriculteur"
"agro-alimentaires","agro alimentaire"
"agro-développement","agro développement"
"agro-industrie","agro industrie"
"agro-industriel","agro industriel"
"agro-industrielle","agro industriel"
"agro-industrielles","agro industriel"
"agro-industriels","agro industriel"
"agro-industries","agro industrie"
"agro-pharmaceutique","agro pharmaceutique"
"agro-ressources","agro ressource"
"agro-sciences","agro science"
"agro-socio-économiste","agro socio économiste"
"agro-écologie","agro écologie"
"agro-écologique","agro écologique"
"agro-économie","agro économie"
"agro-économiste","agro économiste"
"agronomes","agronome"
"agrège","agréger"
"agréables","agréable"
"agrée","agréer"
"agrées","agréer"
"agrégats","agrégat"
"agrégé","agréger"
"agrégée","agréger"
"agrégées","agréger"
"agrégés","agréger"
"agréments","agrément"
"agrémenté","agrémenter"
"agrémentée","agrémenter"
"agrémentées","agrémenter"
"agréé","agréer"
"agréée","agréer"
"agréées","agréer"
"agréés","agréer"
"aguerrie","aguerri"
"aida","aider"
"aidais","aider"
"aidant","aider"
"aide","aider"
"aide-boulanger","aider boulanger"
"aide-charcutier","aider charcutier"
"aide-conducteur","aider conducteur"
"aide-déménageur","aider déménageur"
"aide-livreur","aider livreur"
"aide-préparateur","aider préparateur"
"aide-pâtissier","aider pâtissier"
"aide-soignante","aide-soignant"
"aident","aider"
"aiderait","aider"
"aideront","aider"
"aides","aider"
"aides-soignants","aide-soignant"
"aidez","aider"
"aidons","aider"
"aidé","aider"
"aidée","aider"
"aidées","aider"
"aidés","aider"
"aiglons","aiglon"
"aiguillages","aiguillage"
"aiguille","aiguiller"
"aiguilles","aiguiller"
"aiguillon","aiguiller"
"aiguisant","aiguiser"
"aiguise","aiguiser"
"aiguisé","aiguiser"
"aiguisés","aiguiser"
"aigus","aigu"
"aiguë","aigu"
"aiguës","aigu"
"aikido","aïkido"
"ailerons","aileron"
"ailes","aile"
"ailettes","ailette"
"aille","aller"
"aimant","aimer"
"aimants","aimer"
"aime","aimer"
"aiment","aimer"
"aimera","aimer"
"aimerai","aimer"
"aimerais","aimer"
"aimez","aimer"
"aimé","aimer"
"aine","ain"
"aines","ain"
"air-eau","air eau"
"air-huile","air huileux"
"air-vapeur","air vapeur"
"airbags","airbag"
"aires","aire"
"airs","air"
"aise","aisé"
"aisée","aisé"
"aisées","aisé"
"aisés","aisé"
"ajout","ajouter"
"ajoutant","ajouter"
"ajoute","ajouter"
"ajoutent","ajouter"
"ajouterai","ajouter"
"ajouts","ajouter"
"ajouté","ajouter"
"ajoutée","ajouter"
"ajoutées","ajouter"
"ajoutés","ajouter"
"ajustant","ajustement"
"ajuste","ajustement"
"ajustements","ajustement"
"ajuster","ajustement"
"ajusteur-outilleur","ajusteur outilleur"
"ajusteurs","ajusteur"
"ajusté","ajustement"
"ajustée","ajustement"
"akuitéo","akuiteo"
"albums","album"
"alcaline","alcalines"
"alcalà","alcala"
"alcooliques","alcoolique"
"alcoolisée","alcoolisées"
"alcools","alcool"
"alentours","alentour"
"alerte","alerter"
"alertes","alerter"
"alerté","alerter"
"alertés","alerter"
"algorithmes","algorithme"
"algues","algue"
"algérienne","algérien"
"algériennes","algérien"
"algériens","algérien"
"alignant","aligner"
"alignements","alignement"
"aligné","aligner"
"alignée","aligner"
"alignées","aligner"
"alignés","aligner"
"alimenta","alimentation"
"alimentaires","alimentaire"
"alimentais","alimentation"
"alimentant","alimentation"
"alimentation-santé","alimentation santé"
"alimentations","alimentation"
"alimente","alimentation"
"alimentent","alimentation"
"alimenter","alimentation"
"alimentera","alimentation"
"aliments","aliment"
"alimenté","alimentation"
"alimentée","alimentation"
"alimentées","alimentation"
"alimentés","alimentation"
"alinea","alinéa"
"alinéas","alinéa"
"alize","alizé"
"alizés","alizé"
"aliénor","alienor"
"allais","aller"
"allait","aller"
"allaitantes","allaitement"
"allant","aller"
"allegre","allègre"
"allemande","allemand"
"allemandes","allemand"
"allemands","allemand"
"allergies","allergie"
"allergiques","allergique"
"allergènes","allergène"
"allers","aller"
"allers-retours","aller-retour"
"allez","aller"
"allia","aller"
"alliages","alliage"
"alliances","alliance"
"alliant","aller"
"allie","aller"
"allier","aller"
"alliera","aller"
"allierait","aller"
"allié","aller"
"alliée","aller"
"alliées","aller"
"alliés","aller"
"allocataires","allocataire"
"allocations","allocation"
"allonger","allongement"
"allongé","allongement"
"alloue","allouer"
"alloué","allouer"
"allouée","allouer"
"alloués","allouer"
"allumage","allumer"
"allures","allure"
"allègements","allégement"
"allé","aller"
"allée","aller"
"allées","aller"
"allégations","allégation"
"allégements","allégement"
"allégé","alléger"
"allégée","alléger"
"allégées","alléger"
"allégés","alléger"
"alléno","alleno"
"allés","aller"
"aloé","aloe"
"alpes","alpe"
"alphéga","alphega"
"alpine","alpin"
"alpines","alpin"
"alpins","alpin"
"alsacienne","alsacien"
"alsaciennes","alsacien"
"alsaciens","alsacien"
"altaïx","altaix"
"alternances","alternance"
"alternatif-continu","alternatif continu"
"alternatifs","alternatif"
"alternative","alternatif"
"alternatives","alternatif"
"alternée","alternées"
"altimètres","altimètre"
"altitudes","altitude"
"altèrent","altérer"
"altéo","alteo"
"altéra","altérer"
"altérations","altération"
"altérée","altérer"
"altérées","altérer"
"altérés","altérer"
"aluminé","alumine"
"alvéoles","alvéole"
"aléas","aléa"
"aléatoires","aléatoire"
"alénia","alenia"
"amandes","amande"
"amandiers","amandier"
"amant","amer"
"amarrages","amarrage"
"amarres","amarrage"
"amateurs","amateur"
"amatrice","amateur"
"amazonienne","amazonien"
"ambassade","ambassadeur"
"ambassades","ambassadeur"
"ambassadeurs","ambassadeur"
"ambassadrice","ambassadeur"
"ambassadrices","ambassadeur"
"ambiances","ambiance"
"ambiante","ambiant"
"ambiantes","ambiant"
"ambiants","ambiant"
"ambiguïtés","ambiguïté"
"ambitieuse","ambitieux"
"ambitieuses","ambitieux"
"ambitions","ambition"
"ambulances","ambulance"
"ambulanciers","ambulancier"
"ambulancière","ambulancier"
"ambulante","ambulant"
"ambulantes","ambulant"
"ambulants","ambulant"
"ambès","ambes"
"amena","amener"
"amenagement","aménagement"
"amenant","amener"
"amendements","amendement"
"amené","amener"
"amenée","amener"
"amenées","amener"
"amenés","amener"
"americium","américium"
"amerique","amérique"
"ameublements","ameublement"
"amianté","amiante"
"amicale","amical"
"amicales","amical"
"amie","ami"
"amies","ami"
"amine","aminé"
"amines","aminé"
"aminés","aminé"
"amis","ami"
"amitiés","amitié"
"amont-aval","amont aval"
"amorce","amorcer"
"amorces","amorcer"
"amorcé","amorcer"
"amorcée","amorcer"
"amorcés","amorcer"
"amorphes","amorphe"
"amortie","amortir"
"amortisseurs","amortisseur"
"amoureuse","amoureux"
"amours","amour"
"amovibles","amovible"
"ampere","ampère"
"amphibies","amphibie"
"amples","ample"
"ampleurs","ampleur"
"amplificateurs","amplificateur"
"amplifications","amplification"
"amplifiée","amplifier"
"amplifiées","amplifier"
"amplis","ampli"
"ampoules","ampoule"
"amusant","amuser"
"amusante","amuser"
"amuse","amuser"
"amuse-bouches","amuse-bouche"
"amuses","amuser"
"amène","amener"
"amènent","amener"
"amènera","amener"
"amère","amer"
"améliora","améliorer"
"améliorant","améliorer"
"amélioration","améliorer"
"améliorations","améliorer"
"améliore","améliorer"
"améliorent","améliorer"
"amélioré","améliorer"
"améliorée","améliorer"
"améliorées","améliorer"
"améliorés","améliorer"
"aménage","aménager"
"aménagements","aménagement"
"aménagent","aménager"
"aménagé","aménager"
"aménagée","aménager"
"aménagées","aménager"
"aménagés","aménager"
"américa","america"
"américaine","américain"
"américaines","américain"
"américains","américain"
"américas","americas"
"analgésiques","analgésique"
"analogies","analogie"
"analogique-numérique","analogique numérique"
"analogiques","analogique"
"analogues","analogue"
"analysais","analyser"
"analysant","analyser"
"analyse","analyser"
"analyses","analyser"
"analyseurs","analyseur"
"analysez","analyser"
"analyste-programmeur","analyste programmer"
"analyste-programmeuse","analyste programmer"
"analystes","analyste"
"analysé","analyser"
"analysée","analyser"
"analysées","analyser"
"analysés","analyser"
"anatomiques","anatomique"
"anatomistes","anatomiste"
"anaël","anael"
"ancestrale","ancestral"
"ancienne","ancien"
"anciennes","ancien"
"anciens","ancien"
"ancillaires","ancillaire"
"ancre","ancrer"
"ancres","ancrer"
"ancré","ancrer"
"ancrée","ancrer"
"ancrées","ancrer"
"ancrés","ancrer"
"androïd","android"
"ane","âne"
"anecdotes","anecdote"
"anesthésie-réanimation","anesthésie réanimation"
"anesthésiques","anesthésique"
"anesthésiste-réanimateur","anesthésiste réanimateur"
"anesthésistes","anesthésiste"
"anges","ange"
"angevine","angevin"
"anglais-chinois","anglais chinois"
"anglais-courant","anglais courant"
"anglais-espagnol","anglais espagnol"
"anglais-italien","anglais italien"
"anglais-japonais","anglais japonais"
"anglais-turc","anglais turc"
"angles","angle"
"anglo-saxonne","anglo-saxon"
"anglo-saxonnes","anglo-saxon"
"anglo-saxons","anglo-saxon"
"anglophones","anglophone"
"angoulème","angouleme"
"anguilles","anguille"
"angulaires","angulaire"
"anima","animation"
"animais","animation"
"animale","animal"
"animales","animal"
"animaliers","animalier"
"animalière","animalier"
"animalières","animalier"
"animant","animation"
"animateur","animation"
"animateurs","animation"
"animations","animation"
"animatrice","animation"
"animatrices","animation"
"animaux","animal"
"anime","animation"
"animent","animation"
"animer","animation"
"animes","animation"
"animé","animation"
"animée","animation"
"animées","animation"
"animés","animation"
"anise","anis"
"anisé","anis"
"anneaux","anneau"
"annexe","annexer"
"annexes","annexer"
"annexé","annexer"
"annexés","annexer"
"anniversaires","anniversaire"
"annonce","annoncer"
"annonces","annoncer"
"annonceurs","annonceur"
"annonceuse","annonceur"
"annoncé","annoncer"
"annoncée","annoncer"
"annoncées","annoncer"
"annoncés","annoncer"
"annotations","annotation"
"annote","annotation"
"annoter","annotation"
"annuaires","annuaire"
"annuelle","annuel"
"annuelles","annuel"
"annuels","annuel"
"annulant","annulation"
"annulations","annulation"
"annuler","annulation"
"annulé","annulation"
"annulée","annulation"
"années","année"
"anomalies","anomalie"
"anonymes","anonyme"
"anormale","anormal"
"anormales","anormal"
"anormaux","anormal"
"anses","anse"
"antagonistes","antagoniste"
"antalgiques","antalgique"
"antarctiques","antarctique"
"antarès","antares"
"ante","anté"
"antenne-lecteur","antenne lecteur"
"antennes","antenne"
"anthropiques","anthropique"
"anthropologiques","anthropologique"
"anti-acide","anti acide"
"anti-bactérienne","anti bactérien"
"anti-cancéreuse","anti cancéreux"
"anti-cancéreux","anti cancéreux"
"anti-cancérigènes","anti cancérigène"
"anti-corrosion","anti corrosion"
"anti-dépresseur","antidépresseur"
"anti-fraude","anti fraude"
"anti-givrage","anti givrage"
"anti-inflammatoires","anti inflammatoire"
"anti-intrusion","anti intrusion"
"anti-microbien","antimicrobien"
"anti-missiles","antimissile"
"anti-moisissures","anti moisissure"
"anti-parasitaire","anti parasitaire"
"anti-satellites","anti satellite"
"anti-statique","antistatique"
"anti-trust","antitrust"
"anti-tumorale","anti tumoral"
"anti-usure","anti usure"
"antibiotiques","antibiotique"
"anticipant","anticipation"
"anticipations","anticipation"
"anticipe","anticipation"
"anticiper","anticipation"
"anticipé","anticipation"
"anticipée","anticipation"
"anticipées","anticipation"
"anticipés","anticipation"
"antidérapants","antidérapant"
"antigènes","antigène"
"antillaise","antillais"
"antilopes","antilope"
"antioxydants","antioxydant"
"antiquaires","antiquaire"
"antiques","antique"
"antiquités","antiquité"
"antiseptiques","antiseptique"
"antiviraux","antiviral"
"antécédents","antécédent"
"antérieure","antérieur"
"antérieures","antérieur"
"antérieurs","antérieur"
"apaise","apaiser"
"apaisement","apaiser"
"apaisé","apaiser"
"apaisée","apaiser"
"apiculteurs","apiculteur"
"apicultrice","apiculteur"
"apogee","apogée"
"apparaissent","apparaître"
"apparait","apparaître"
"appareillages","appareillage"
"appareillant","appareiller"
"appareils","appareil"
"apparent","apparenter"
"apparente","apparenter"
"apparentes","apparenter"
"apparentée","apparenter"
"apparentés","apparenter"
"apparitions","apparition"
"appartements","appartement"
"appartenait","appartenir"
"appartenant","appartenir"
"appartiennent","appartenir"
"appartient","appartenir"
"apparu","apparaître"
"apparue","apparaître"
"apparues","apparaître"
"apparus","apparaître"
"appelant","appeler"
"appellations","appellation"
"appelle","appeler"
"appellent","appeler"
"appels","appel"
"appelé","appeler"
"appelée","appeler"
"appelées","appeler"
"appelés","appeler"
"applicables","applicable"
"applications","application"
"appliquant","appliquer"
"applique","appliquer"
"appliquent","appliquer"
"appliques","appliquer"
"appliquez","appliquer"
"appliqué","appliquer"
"appliquée","appliquer"
"appliquées","appliquer"
"appliqués","appliquer"
"appointements","appointement"
"apportais","apporter"
"apportait","apporter"
"apportant","apporter"
"apporte","apporter"
"apportent","apporter"
"apportera","apporter"
"apporterai","apporter"
"apporterais","apporter"
"apporteront","apporter"
"apportez","apporter"
"apportons","apporter"
"apports","apport"
"apporté","apporter"
"apportée","apporter"
"apportées","apporter"
"apportés","apporter"
"apprenant","apprendre"
"apprend","apprendre"
"apprendrez","apprendre"
"apprends","apprendre"
"apprennent","apprendre"
"apprentie","apprenti"
"apprenties","apprenti"
"apprentis","apprenti"
"apprentissages","apprentissage"
"appris","apprendre"
"apprises","apprendre"
"apprivoisés","apprivoiser"
"approbations","approbation"
"approchant","approcher"
"approche","approcher"
"approches","approcher"
"approché","approcher"
"approchée","approcher"
"approchées","approcher"
"approchés","approcher"
"approfondi","approfondir"
"approfondie","approfondir"
"approfondies","approfondir"
"approfondis","approfondir"
"approfondissent","approfondir"
"approprie","approprier"
"approprient","approprier"
"approprié","approprier"
"appropriée","approprier"
"appropriées","approprier"
"appropriés","approprier"
"approuve","approuver"
"approuvé","approuver"
"approuvée","approuver"
"approuvées","approuver"
"approuvés","approuver"
"approvisionnant","approvisionnement"
"approvisionne","approvisionnement"
"approvisionnements","approvisionnement"
"approvisionnent","approvisionnement"
"approvisionner","approvisionnement"
"approvisionnées","approvisionnement"
"approvisionnés","approvisionnement"
"approximative","approximatif"
"appréciables","appréciable"
"appréciant","appréciation"
"appréciations","appréciation"
"appréciative","appreciative"
"apprécie","appréciation"
"apprécient","appréciation"
"apprécier","appréciation"
"apprécierais","appréciation"
"apprécié","appréciation"
"appréciée","appréciation"
"appréciées","appréciation"
"appréciés","appréciation"
"appréhende","appréhender"
"appréhendé","appréhender"
"appréhendés","appréhender"
"appréhensions","appréhension"
"apprêts","apprêt"
"appuie","appuyer"
"appuient","appuyer"
"appuis","appui"
"appuyais","appuyer"
"appuyait","appuyer"
"appuyant","appuyer"
"appuyé","appuyer"
"appuyée","appuyer"
"appuyées","appuyer"
"appétences","appétence"
"aptes","apte"
"aptitudes","aptitude"
"apéritifs","apéritif"
"apéritive","apéritif"
"apéritives","apéritif"
"apéros","apéro"
"aquarelles","aquarelle"
"aquariums","aquarium"
"aquatiques","aquatique"
"aqueducs","aqueduc"
"aqueuse","aqueux"
"aqueuses","aqueux"
"arabes","arabe"
"arachides","arachide"
"araignées","araignée"
"aras","ara"
"arbitrages","arbitrage"
"arbitraires","arbitraire"
"arbitrale","arbitral"
"arbitre","arbitrage"
"arbitrer","arbitrage"
"arbitres","arbitrage"
"arbitrée","arbitrage"
"arborescences","arborescence"
"arbres","arbre"
"arbustes","arbuste"
"arcades","arcade"
"arcadès","arcade"
"arcanes","arcane"
"arceaux","arceau"
"archers","archer"
"arches","arche"
"archipels","archipel"
"architecte-ingénieur","architecte ingénieur"
"architecte-paysagiste","architecte paysagiste"
"architectes","architecte"
"architecturale","architectural"
"architecturales","architectural"
"architecturaux","architectural"
"architectures","architecture"
"archive","archivage"
"archiver","archivage"
"archives","archivage"
"archivistes","archiviste"
"archivées","archivage"
"archéologiques","archéologique"
"archéologues","archéologue"
"arcs","arc"
"ardoises","ardoise"
"ardoisière","ardoisier"
"ares","are"
"argentine","argentin"
"argentins","argentin"
"argiles","argile"
"argileux","argile"
"argument","argumenter"
"argumentant","argumenter"
"argumentations","argumentation"
"argumente","argumenter"
"arguments","argumenter"
"argumenté","argumenter"
"arias","aria"
"arides","aride"
"arkéa","arkea"
"armagnacs","armagnac"
"armateurs","armateur"
"armatures","armature"
"armee","armée"
"armements","armement"
"armoires","armoire"
"armoricaine","armoricain"
"armures","armure"
"armées","armée"
"arméniens","arménien"
"aromatiques","aromatique"
"aromatisé","aromatiser"
"aromatisée","aromatiser"
"aromatisées","aromatiser"
"aromatisés","aromatiser"
"arpege","arpège"
"arpents","arpent"
"arrange","arranger"
"arrangements","arrangement"
"arrangé","arranger"
"arrangés","arranger"
"arret","arrêt"
"arrimé","arrimage"
"arrivages","arrivage"
"arrivais","arriver"
"arrivant","arriver"
"arrivante","arriver"
"arrivants","arriver"
"arrive","arriver"
