"14eme","14éme"
"amphibies","amphibie"
"amplificateurs","amplificateur"
"amplis","ampli"
"ampoule","ampoules"
"améliorée","amélioré"
"amériques","amérique"
"anael","anaël"
"analogue","analogues"
"analyses","analyse"
"analytiques","analytique"
"anaérobies","anaérobie"
"android","androïd"
"anges","ange"
"anglo-saxonnes","anglo-saxonne"
"anglophones","anglophone"
"animalière","animalier"
"animatrice","animateur"
"animer","animation"
"animes","animés"
"anniversaires","anniversaire"
"annonceur","annonceurs"
"annoncé","annoncés"
"annoncée","annoncés"
"annuaires","annuaire"
"anode","anodes"
"antalgique","antalgiques"
"antarctiques","antarctique"
"ante","anté"
"antibactérien","antibactériens"
"antibiotique","antibiotiques"
"anticipant","anticiper"
"anticipations","anticipation"
"anticipé","anticipée"
"anticipées","anticipée"
"anticipés","anticipé"
"antifongiques","antifongique"
"antigène","antigènes"
"antimicrobien","antimicrobiens"
"antimicrobiens","antimicrobienne"
"antioxydant","antioxydante"
"antioxydante","antioxydants"
"antiquaire","antiquaires"
"antiques","antique"
"antiquité","antiquités"
"antiviral","antiviraux"
"apaiser","apaisé"
"apaisé","apaisement"
"apiculteur","apiculteurs"
"appareillage","appareillages"
"apparente","apparentes"
"appel","appels"
"applicable","applicables"
"applicatrice","applicateur"
"appliquees","appliquées"
"appontement","appontements"
"apportée","apportées"
"apprenant","apprenante"
"apprend","apprends"
"apprentie","apprenti"
"approbations","approbation"
"approchant","approcher"
"appréciée","apprécié"
"appréciées","appréciée"
"appréciés","apprécié"
"apéritif","apéritifs"
"aqueducs","aqueduc"
"aqueuses","aqueuse"
"arachide","arachides"
"aramides","aramide"
"arbitres","arbitre"
"arborescences","arborescence"
"arboricoles","arboricole"
"arboricultrice","arboriculteur"
"arbres","arbre"
"arcades","arcade"
"archis","archi"
"argentins","argentin"
"argumenté","argumentée"
"argumentée","argumentés"
"aride","arides"
"arkea","arkéa"
"armures","armure"
"armurière","armurier"
"armées","armée"
"aromatique","aromatiques"
"aromatisé","aromatisés"
"aromatisée","aromatisées"
"aromatisés","aromatisées"
"arpege","arpège"
"arrivage","arrivages"
"arrivant","arrivants"
"arrondissements","arrondissement"
"artemis","artémis"
"articulaires","articulaire"
"articuler","articulent"
"articulée","articulé"
"artificière","artificier"
"artère","artères"
"arôme","arômes"
"ascometal","ascométal"
"aseptiques","aseptique"
"asiatique","asiatiques"
"asiles","asile"
"aspirants","aspirant"
"aspirateurs","aspirateur"
"assaisonnement","assaisonnements"
"assembleurs","assembleur"
"assembleuse","assembleur"
"asservie","asservi"
"assidu","assidue"
"assiettes","assiette"
"assignation","assignations"
"assigner","assigné"
"assimilées","assimilée"
"assistant","assistante"
"associatives","associative"
"assortie","assorti"
"assortiments","assortiment"
"assumant","assumer"
"assume","assumé"
"assumé","assumer"
"assurances","assurance"
"assureur","assureurs"
"astreintes","astreinte"
"asynchrones","asynchrone"
"ateliers","atelier"
"athlètes","athlète"
"atome","atomes"
"attachement","attachements"
"attachée","attaché"
"attentive","attentif"
"attirée","attiré"
"attractif","attractive"
"attractions","attraction"
"attractives","attractive"
"atténuer","atténuateur"
"auditifs","auditif"
"auditoriums","auditorium"
"auditrice","auditeur"
"audits","audit"
"augmentant","augmenter"
"aumone","aumône"
"aurifères","aurifère"
"austral","australe"
"australienne","australien"
"auteure","auteur"
"authentiques","authentique"
"autocars","autocar"
"automobiles","automobile"
"automotrices","automotrice"
"autoradios","autoradio"
"autoroutières","autoroutière"
"autrichienne","autrichien"
"autrichiennes","autrichienne"
"auvents","auvent"
"avale","aval"
"avenant","avenants"
"avene","avène"
"avertissements","avertissement"
"aviaires","aviaire"
"avocat","avocats"
"avocate","avocat"
"avérées","avérée"
"axereal","axéréal"
"axiale","axial"
"axiaux","axial"
"aérodynamiques","aérodynamique"
"aéronaval","aéronavale"
"aérosol","aérosols"
"aérés","aéré"
"baccalaureat","baccalauréat"
"bacheliers","bachelier"
"bactérie","bactéries"
"bactérien","bactérienne"
"bactériennes","bactérienne"
"bactériens","bactérien"
"badge","badges"
"baignades","baignade"
"bail","baux"
"baisses","baisse"
"balade","balades"
"balancers","balancer"
"balayeuse","balayeuses"
"balcon","balcons"
"balistiques","balistique"
"ballade","ballades"
"ballasts","ballast"
"balles","balle"
"banche","banché"
"banches","banchés"
"banchés","banché"
"bannière","bannières"
"banquet","banquets"
"banquier","banquiers"
"baptêmes","baptême"
"bardeaux","bardeau"
"barge","barges"
"baromètres","baromètre"
"barométrique","barométriques"
"barra","barras"
"barrages","barrage"
"barreaux","barreau"
"barthelemy","barthélemy"
"barème","barèmes"
"batardeau","batardeaux"
"bateliers","batelier"
"batteuse","batteur"
"becquets","becquet"
"beghin","béghin"
"bejaia","béjaia"
"belier","bélier"
"benelux","bénélux"
"benevolat","bénévolat"
"beni","béni"
"benin","bénin"
"benite","bénite"
"berceau","berceaux"
"berlinoises","berlinoise"
"beton","bêton"
"betteraves","betterave"
"beurres","beurre"
"bibles","bible"
"bibliographiques","bibliographique"
"bielles","bielle"
"bienveillante","bienveillant"
"bijoutière","bijoutier"
"bilans","bilan"
"bilatéral","bilatéraux"
"bilatérale","bilatérales"
"bilatérales","bilatéraux"
"bimensuel","bimensuelles"
"bimensuelle","bimensuelles"
"binaires","binaire"
"biochimique","biochimiques"
"biodiesel","biodiésel"
"biodégradable","biodégradables"
"biographie","biographies"
"biologistes","biologiste"
"biomasses","biomasse"
"biomédicale","biomédical"
"biomédicales","biomédicale"
"biophysiques","biophysique"
"biosphere","biosphère"
"biotechnologie","biotechnologies"
"bipolaires","bipolaire"
"biscotte","biscottes"
"biscuit","biscuits"
"bit","bits"
"bitume","bitumé"
"bitumes","bitume"
"blini","blinis"
"block","blocks"
"bloquant","bloquants"
"bloquante","bloquant"
"bloquer","bloquant"
"blots","blot"
"blés","blé"
"boa","boas"
"bobineuses","bobineuse"
"bogie","bogies"
"boitier","boîtier"
"boitiers","boîtiers"
"bonbon","bonbons"
"bords","bord"
"bordure","bordures"
"borealis","boréalis"
"bottière","bottier"
"bouchon","bouchons"
"boucliers","bouclier"
"bougie","bougies"
"bouilleurs","bouilleur"
"bouler","boulage"
"boumerdes","boumerdès"
"bouées","bouée"
"bovin","bovins"
"bovine","bovin"
"bovines","bovins"
"boîtiers","boîtier"
"bracelet","bracelets"
"brainstormings","brainstorming"
"braser","brasé"
"brasseur","brasseurs"
"brasseuse","brasseur"
"brassé","brassés"
"brasures","brasure"
"bresil","brésil"
"bretelle","bretelles"
"bretonne","breton"
"bretonnes","bretonne"
"bretons","breton"
"brezillon","brézillon"
"bricoleur","bricoler"
"bride","brides"
"briefings","briefing"
"brigades","brigade"
"brioches","brioche"
"brocante","brocantes"
"brocheur","brocheuse"
"brochure","brochures"
"brode","brodeur"
"bronzière","bronzier"
"brouillard","brouillards"
"bruleur","brûleur"
"brunchs","brunch"
"bruns","brun"
"brutale","brutal"
"bruyère","bruyères"
"brésilienne","brésilien"
"budgets","budget"
"buffets","buffet"
"bug","bugs"
"bulbe","bulbes"
"bulgares","bulgare"
"bulldozers","bulldozer"
"bunkers","bunker"
"buse","buses"
"butée","butées"
"bâtisseurs","bâtisseur"
"bébés","bébé"
"béjaia","bejaïa"
"bénéficient","bénéficier"
"bénéficié","bénéficier"
"bénéfique","bénéfiques"
"bénévolats","bénévolat"
"bétonnages","bétonnage"
"cabane","cabanes"
"cableur","câbleur"
"cablier","câblier"
"cadets","cadet"
"cadreuse","cadreur"
"cafeteria","cafétéria"
"cafetier","cafetière"
"cafétérias","cafétéria"
"cahiers","cahier"
"caissier","caissière"
"cake","cakes"
"calcule","calculé"
"calculs","calcul"
"calculée","calculé"
"calculés","calculé"
"calendaires","calendaire"
"calendriers","calendrier"
"calle","cal"
"caloporteurs","caloporteur"
"calorifiques","calorifique"
"calques","calque"
"camaieu","camaïeu"
"came","cames"
"cameras","camera"
"canalisatrice","canalisateur"
"canards","canard"
"cancers","cancer"
"caneco","canéco"
"caniveau","caniveaux"
"cannelure","cannelures"
"canoe","canoë"
"cantines","cantine"
"capitalisant","capitaliser"
"capitalise","capitalisé"
"capitalisé","capitaliser"
"capots","capot"
"caprices","caprice"
"capsule","capsules"
"captif","captive"
"captives","captive"
"caractérisations","caractérisation"
"caractérisés","caractérisé"
"caraibes","caraïbes"
"caramels","caramel"
"caraïbe","caraïbes"
"carbonates","carbonate"
"carbones","carbonés"
"carbures","carbure"
"cardio-vasculaire","cardio-vasculaires"
"cardiovasculaires","cardiovasculaire"
"caritatif","caritative"
"caritatifs","caritatif"
"caritatives","caritative"
"carmes","carme"
"carotte","carottes"
"carottes","carotté"
"carrelages","carrelage"
"carreleurs","carreleur"
"carreleuse","carreleur"
"carrossière","carrossier"
"carters","carter"
"cartographiques","cartographique"
"cartonnages","cartonnage"
"cartonniers","cartonnier"
"casernes","caserne"
"cassette","cassettes"
"caséine","caséines"
"catalyseur","catalyseurs"
"catalytiques","catalytique"
"catamarans","catamaran"
"catapulte","catapultes"
"catastrophe","catastrophes"
"category","catégory"
"cathode","cathodes"
"cathédrales","cathédrale"
"catégorisant","catégorisation"
"catégoriser","catégorisant"
"caténaire","caténaires"
"causerie","causeries"
"causé","causés"
"causées","causée"
"caution","cautions"
"cavaliers","cavalier"
"cavalière","cavalier"
"cedeo","cédéo"
"cedres","cèdres"
"cedria","cédria"
"cegedim","cégédim"
"cegid","cégid"
"celia","célia"
"cellulaires","cellulaire"
"celluloses","cellulose"
"cemoi","cémoi"
"cendre","cendres"
"centrages","centrage"
"centralisant","centraliser"
"centraliser","centralisation"
"centrifuge","centrifuges"
"cereal","céréal"
"cerise","cerises"
"certifiante","certifiant"
"certifiants","certifiant"
"cervantes","cervantès"
"cessations","cessation"
"cesse","cessent"
"cesser","cessent"
"cessé","cesser"
"cesure","césure"
"chaises","chaise"
"chalets","chalet"
"chalons","châlons"
"champignon","champignons"
"championnats","championnat"
"championne","champion"
"champions","champion"
"chances","chance"
"changeants","changeant"
"chansons","chanson"
"chante","chanteur"
"chanteuse","chanteur"
"chape","chapes"
"chapiteau","chapiteaux"
"chapitres","chapitre"
"charcuteries","charcuterie"
"charcutiers","charcutier"
"charcutière","charcutier"
"chargee","chargée"
"chargeuse","chargeur"
"chargée","chargé"
"charpentière","charpentier"
"charrue","charrues"
"chasseurs","chasseur"
"chasseuse","chasseur"
"chateau","château"
"chateaubriant","châteaubriant"
"chateaux","châteaux"
"chatel","châtel"
"chatelet","châtelet"
"chatenay","châtenay"
"chaudronniers","chaudronnier"
"chaudronnière","chaudronnier"
"chauffantes","chauffante"
"chauffants","chauffant"
"chauffe-eaux","chauffe-eau"
"chauffer","chauffant"
"chaufferies","chaufferie"
"chauffes","chauffés"
"chauffeuse","chauffeur"
"chauffé","chauffée"
"chauffée","chauffer"
"che","ché"
"check-lists","check-list"
"cheffe","chef"
"cheminements","cheminement"
"chenal","chenaux"
"chenille","chenilles"
"chercheuse","chercheur"
"cherie","chérie"
"chevaliers","chevalier"
"chevilles","cheville"
"chier","chiers"
"chimiothérapies","chimiothérapie"
"chirurgical","chirurgicaux"
"chirurgicales","chirurgicale"
"chirurgien","chirurgiens"
"chloe","chloé"
"chlorures","chlorure"
"chocolats","chocolat"
"chocs","choc"
"cholesterol","cholestérol"
"choral","chorale"
"choregie","chorégie"
"choristes","choriste"
"chose","choses"
"chromatographies","chromatographie"
"chromeleon","chroméléon"
"chroniqueuse","chroniqueur"
"chronométrages","chronométrage"
"châteaux","château"
"chèque","chèques"
"chèvres","chèvre"
"chênes","chêne"
"ciblée","ciblées"
"cidres","cidre"
"cimenteries","cimenterie"
"cine","ciné"
"cintres","cintrés"
"cinétiques","cinétique"
"circulatoire","circulatoires"
"cisailles","cisaille"
"citer","citation"
"citernes","citerne"
"citoyenne","citoyen"
"citoyennes","citoyenne"
"citroen","citroên"
"citrons","citron"
"civilisation","civilisations"
"claim","claims"
"clamps","clamp"
"clapet","clapets"
"clash","clashs"
"classes","classe"
"classeuse","classeur"
"classifier","classifiés"
"classifié","classifiés"
"classée","classé"
"clement","clément"
"clercs","clerc"
"clients","client"
"climatiseur","climatiseurs"
"cliquant","cliquer"
"cliquer","cliquez"
"cloison","cloisons"
"clonages","clonage"
"clones","clone"
"cluse","cluses"
"clusters","cluster"
"clôtures","clôture"
"co-animateur","co-animatrice"
"co-auteure","co-auteur"
"co-président","co-présidente"
"coache","coaché"
"cockpits","cockpit"
"cocktail","cocktails"
"codant","coder"
"code","codes"
"coder","codé"
"codeurs","codeur"
"codée","codé"
"coefficients","coefficient"
"cofinancement","cofinancements"
"cofondatrice","cofondateur"
"coheris","cohéris"
"cohérentes","cohérente"
"coiffer","coiffage"
"coiffeuse","coiffeur"
"collaboratrices","collaboratrice"
"collectionneurs","collectionneur"
"collectrice","collecteur"
"collecté","collectés"
"colleur","colleuse"
"collier","colliers"
"collines","colline"
"colloques","colloque"
"collèges","collège"
"colonie","colonies"
"combattante","combattant"
"combinatoires","combinatoire"
"combine","combiné"
"comble","combles"
"comestible","comestibles"
"comete","comète"
"comités","comité"
"commandante","commandant"
"commande","commandes"
"commandos","commando"
"commandée","commandé"
"commerçante","commerçant"
"commise","commis"
"commissaire","commissaires"
"commissariats","commissariat"
"commissionnaires","commissionnaire"
"commodité","commodités"
"communicante","communicant"
"communicative","communicatif"
"communiqué","communiqués"
"commutateur","commutateurs"
"compacte","compactes"
"compagnes","compagne"
"compagnonne","compagnon"
"comparaisons","comparaison"
"comparant","comparer"
"comparatifs","comparatif"
"comparée","comparé"
"compensateur","compensateurs"
"compensé","compensés"
"compilateur","compiler"
"compilateurs","compilateur"
"complements","compléments"
"complémentarités","complémentarité"
"complétée","complété"
"compositrice","compositeur"
"compost","composts"
"compote","compotes"
"compound","compounds"
"compresseur","compresseurs"
"compressible","compressibles"
"comprimée","comprimé"
"comptabilisations","comptabilisation"
"comptabilite","comptabilité"
"comptabilités","comptabilité"
"comptable","comptables"
"compte-rendus","compte-rendu"
"compétiteurs","compétiteur"
"compétitive","compétitif"
"comte","comté"
"comtoise","comtoises"
"comédienne","comédien"
"comédies","comédie"
"concassages","concassage"
"concasseurs","concasseur"
"concentrateurs","concentrateur"
"conceptrice","concepteur"
"conceptuelle","conceptuel"
"conceptuels","conceptuel"
"concertée","concertées"
"concluant","concluants"
"conclue","conclu"
"concrétiser","concrétisation"
"concrétisés","concrétisé"
"concurrencer","concurrencé"
"concurrente","concurrentes"
"concurrentielles","concurrentielle"
"condamnation","condamnations"
"condensateur","condensateurs"
"condiment","condiments"
"conditionner","conditionnement"
"conditionneur","conditionneuse"
"conditionnée","conditionnées"
"conductivités","conductivité"
"conductrice","conducteur"
"confiant","confier"
"configure","configuré"
"configurés","configuré"
"confiné","confinés"
"confinée","confinées"
"confirmations","confirmation"
"confirmee","confirme"
"confiture","confitures"
"conforté","conforter"
"confrontée","confronté"
"confrontées","confrontée"
"conférencière","conférencier"
"conge","congé"
"congelé","congelés"
"conges","congés"
"congres","congress"
"congélateurs","congélateur"
"conjugale","conjugal"
"conjugue","conjugués"
"conjuguer","conjuguant"
"conjugué","conjugués"
"conjuguée","conjugués"
"connaissements","connaissement"
"conquete","conquête"
"conquêtes","conquête"
"cons","con"
"consacrent","consacrer"
"consciente","conscient"
"consentements","consentement"
"conservatrice","conservateur"
"conserve","conserves"
"conserver","conservant"
"conserveries","conserverie"
"considérée","considéré"
"considérés","considéré"
"consolidations","consolidation"
"consolide","consolidé"
"consolideur","consolide"
"consolidée","consolidé"
"consolidées","consolidée"
"consommées","consommée"
"constate","constaté"
"constatée","constaté"
"consulaires","consulaire"
"consulats","consulat"
"consultante","consultant"
"consultatif","consultatifs"
"consultations","consultation"
"consultative","consultatif"
"consulte","consulté"
"consécutive","consécutives"
"conséquente","conséquent"
"contactés","contacté"
"container","containers"
"contaminant","contaminants"
"contaminations","contamination"
"contemporain","contemporaine"
"contemporains","contemporain"
"contestations","contestation"
"contracter","contracteur"
"contradictoires","contradictoire"
"contraignants","contraignant"
"contrat","contrats"
"contrefaçons","contrefaçon"
"contremaitres","contremaîtres"
"contrepartie","contreparties"
"contribuable","contribuables"
"contrôleuse","contrôleur"
"convaincante","convaincant"
"convaincue","convaincu"
"convecteurs","convecteur"
"convergents","convergent"
"conversations","conversation"
"convertisseurs","convertisseur"
"convictions","conviction"
"convivial","conviviale"
"conviviales","conviviale"
"conviviaux","convivial"
"convocation","convocations"
"convoyeuse","convoyeur"
"cookie","cookies"
"coordinations","coordination"
"coordonnatrice","coordonnateur"
"copieur","copieurs"
"coproduit","coproduits"
"cordonnière","cordonnier"
"cordée","cordées"
"corners","corner"
"correctes","correcte"
"correcteurs","correcteur"
"correctif","corrective"
"correctrice","correcteur"
"corrige","corrigé"
"corrélations","corrélation"
"coréens","coréen"
"costumière","costumier"
"coteau","coteaux"
"cottages","cottage"
"cotée","cotées"
"couché","coucher"
"coude","coudes"
"coulissant","coulissante"
"coulissantes","coulissante"
"coulisses","coulisse"
"couloirs","couloir"
"coulés","coulé"
"coupant","coupants"
"coupeur","coupeuse"
"coupeuses","coupeuse"
"couplages","couplage"
"coupler","coupleur"
"couplers","coupler"
"coupleur","coupleurs"
"couplée","couplé"
"couplées","couplée"
"couplés","couplé"
"coupures","coupure"
"courageuse","courage"
"coureur","courir"
"coureurs","courir"
"couronnées","couronnée"
"courriels","courriel"
"coursière","coursier"
"courtes","courte"
"courtiers","courtier"
"courtière","courtier"
"courtoise","courtois"
"coussin","coussins"
"couts","coûts"
"couturière","couturier"
"couvercle","couvercles"
"couverte","couvert"
"couvreurs","couvreur"
"couvreuse","couvreur"
"coût","coûts"
"crackers","cracker"
"cranes","crane"
"credoc","crédoc"
"cremerie","crémerie"
"creo","créo"
"creuses","creuse"
"crevette","crevettes"
"criminelle","criminelles"
"crises","crise"
"croates","croate"
"crocodile","crocodiles"
"croisières","croisière"
"croissantes","croissante"
"croisé","croisés"
"croitre","croître"
"croupière","croupier"
"crowne","crown"
"cryogéniques","cryogénique"
"crypté","cryptée"
"crèmes","crème"
"créance","créances"
"créas","créa"
"créative","créatif"
"créatrice","créateur"
"crédits","crédit"
"crémaillère","crémaillères"
"crêpe","crêpes"
"crêtes","crête"
"cubes","cube"
"cueilleur","cueilleuse"
"cuisinière","cuisinier"
"cuit","cuits"
"cuites","cuite"
"cuits","cuite"
"culasses","culasse"
"cultivateur","cultivatrice"
"cultivateurs","cultivateur"
"curatif","curative"
"customisé","customisés"
"cutané","cutanée"
"cutanées","cutanée"
"cutanés","cutané"
"cuvettes","cuvette"
"cybernetix","cybernétix"
"cyclable","cyclables"
"cycliques","cyclique"
"cycliste","cyclistes"
"cylindriques","cylindrique"
"cynophiles","cynophile"
"câbler","câblée"
"câbleuse","câbleur"
"câblier","câbliers"
"câblé","câblée"
"câblées","câblée"
"cèdre","cèdres"
"cédé","cédée"
"céleste","célestes"
"célébrations","célébration"
"céréalier","céréalière"
"cérébral","cérébrale"
"cérébrales","cérébrale"
"côtière","côtier"
"côtières","côtière"
"dallages","dallage"
"danger","dangers"
"danser","danseuse"
"danses","danse"
"danseur","danseuse"
"danseuse","danse"
"deadline","deadlines"
"debrief","débrief"
"debriefing","débriefing"
"debug","débug"
"decathlon","décathlon"
"decidium","décidium"
"declarations","déclarations"
"decleor","decléor"
"declic","déclic"
"decoufle","decouflé"
"degremont","degrémont"
"delais","délais"
"delices","délices"
"demandé","demandés"
"demeures","demeure"
"deo","déo"
"deploiement","déploiement"
"deposition","déposition"
"depot","dépot"
"depots","depôts"
"dermatologique","dermatologiques"
"designeuse","designer"
"dessert","desserts"
"dessinatrice","dessinateur"
"dessine","dessiné"
"destructives","destructive"
"dettes","dette"
"diabetes","diabètes"
"diabétique","diabétiques"
"diagnostiqueuse","diagnostiqueur"
"diagrammes","diagramme"
"diamants","diamant"
"diaporamas","diaporama"
"dies","die"
"diesels","diésels"
"diffusée","diffusées"
"différenciant","différenciation"
"différenciante","différenciant"
"différenciants","différenciant"
"différencier","différenciant"
"différencié","différenciés"
"différenciées","différenciée"
"différentiel","différentielle"
"différentielles","différentielle"
"différentiels","différentiel"
"différé","différés"
"digestif","digestive"
"digestifs","digestif"
"digestives","digestive"
"digitale","digital"
"digue","digues"
"dijonnais","dijonnaise"
"diligences","diligence"
"dilutions","dilution"
"dimensionnements","dimensionnement"
"diminuant","diminuer"
"diminue","diminué"
"diminuée","diminué"
"dinatoire","dînatoire"
"dindes","dinde"
"diner","dîner"
"diners","dîners"
"diode","diodes"
"diplomatiques","diplomatique"
"diplome","diplomé"
"diplomé","diplômé"
"diplômée","diplômé"
"directrice","directeur"
"dirigeables","dirigeable"
"dirigeantes","dirigeante"
"discerner","discernement"
"disciplinaire","disciplinaires"
"disciplinée","discipliné"
"discotheque","discothèque"
"discounts","discount"
"discretion","discrétion"
"discriminante","discriminant"
"discriminations","discrimination"
"discussions","discussion"
"disfonctionnement","disfonctionnements"
"dispatcheur","dispatcher"
"dispatcheuse","dispatcher"
"dispensaires","dispensaire"
"dispensé","dispensés"
"dispersé","dispersés"
"disposée","disposé"
"disruptif","disruptive"
"dissections","dissection"
"dissipateur","dissipateurs"
"dissipations","dissipation"
"distant","distants"
"distante","distantes"
"distantes","distants"
"distillateur","distiller"
"distillateurs","distillateur"
"distilleries","distillerie"
"distinguée","distinguées"
"divergent","divergents"
"diversifier","diversifié"
"diversifié","diversifiée"
"diversifiés","diversifié"
"divertissements","divertissement"
"divisionnaires","divisionnaire"
"divisée","divisé"
"divisées","divisée"
"divisés","divisé"
"diététicien","diététicienne"
"djamena","djaména"
"djeno","djéno"
"docteure","docteur"
"doctoral","doctorale"
"doctorales","doctorale"
"documente","documenté"
"documenté","documentés"
"documentés","documenter"
"domiciliations","domiciliation"
"doree","dorée"
"dormants","dormant"
"doré","dorée"
"dossier","dossiers"
"dote","doté"
"dots","dot"
"dotée","doté"
"douanier","douaniers"
"douanière","douaniers"
"doublage","doublages"
"doubler","doublement"
"douches","douche"
"dragages","dragage"
"drains","drain"
"dresse","dressé"
"dresseuse","dresseur"
"drink","drinks"
"drivers","driver"
"drugstores","drugstore"
"durci","durcis"
"duretés","dureté"
"débardage","débarder"
"débardeur","débardeuse"
"débardeuse","débarder"
"débarrassage","débarrasser"
"débat","débats"
"débitrice","débiteur"
"débutante","débutant"
"débutent","débuter"
"décaissement","décaissements"
"décalages","décalage"
"décalé","décalés"
"décanteurs","décanteur"
"décennales","décennale"
"décentralisé","décentralisée"
"décentralisées","décentralisée"
"décernée","décerné"
"décidée","décidées"
"décisionnels","décisionnel"
"déclarant","déclarante"
"déclaration","déclarations"
"déclaré","déclarer"
"déclarés","déclarer"
"décodeur","décodeurs"
"décompositions","décomposition"
"décompte","décomptes"
"décontaminer","décontamination"
"décoratrice","décorateur"
"découpeur","découpeuse"
"découverts","découvert"
"décrets","décret"
"dédouanements","dédouanement"
"défaillance","défaillances"
"défaillante","défaillantes"
"défavorisé","défavorisés"
"déficience","déficiences"
"déficitaires","déficitaire"
"définitif","définitive"
"déflecteur","déflecteurs"
"déformée","déformées"
"défunt","défunts"
"dégrader","dégradé"
"dégradée","dégradées"
"dégustateurs","dégustateur"
"dégustations","dégustation"
"dégustatrice","dégustateur"
"déguster","dégustateur"
"déjeuners","déjeuner"
"déjeuné","déjeuner"
"délai","délais"
"délestages","délestage"
"délibération","délibérations"
"délice","délices"
"délivrée","délivré"
"délocalisé","délocalisés"
"délocalisée","délocalisés"
"déléguée","délégué"
"démarchages","démarchage"
"démarcher","démarchage"
"démarques","démarque"
"démarreur","démarreurs"
"dématérialiser","dématérialisé"
"dématérialisé","dématérialisés"
"dématérialisée","dématérialisé"
"dématérialisés","dématérialisation"
"démineuse","démineur"
"démissions","démission"
"démontable","démontables"
"démontrant","démontrer"
"démontrent","démontrer"
"démontré","démontrer"
"démontrée","démontré"
"démontrées","démontrée"
"déménageuse","déménageur"
"démérites","démérite"
"dénombrements","dénombrement"
"dénommé","dénommée"
"dépanne","dépanneuse"
"dépanneuse","dépanneur"
"départementale","départemental"
"départementales","départementale"
"dépassant","dépasser"
"dépasser","dépassement"
"dépassé","dépassés"
"dépliants","dépliant"
"déployée","déployé"
